"PLU","CATEGORY","COMMODITY","VARIETY","ADDITIONAL VARIETY INFO","SIZE","NA SIZE","ROW SIZE","RESTRICTIONS","NOTES","AKA","TRADEMARK","BOTANICAL NAME","REVISION DATE","DATE ADDED","GPC","IMAGE"
"4369","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4370","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4371","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4372","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4373","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4374","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4375","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4376","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4377","","NECTARINE","Yellow Flesh, Tree Ripened, Ready-to-eat","","Small","70 size and smaller","Average Fruit Weight =  less than 185g","","","","","Prunus persica","1999-12-31 00:00:00","1999-12-31 00:00:00","10005911",""
"4378","","NECTARINE","Yellow Flesh, Tree Ripened, Ready-to-eat","","Large","66 size and larger","Average Fruit Weight =  185g and above","","","","","Prunus persica","1999-12-31 00:00:00","1999-12-31 00:00:00","10005911",""
"4379","","NECTARINE","Retailer Assigned","","","","","","","","","Prunus persica","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4380","","NECTARINE","Retailer Assigned","","","","","","","","","Prunus persica","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
